id,interval,timestamp,price,volume_24h,fetch_latency_ms
0,13:45,2026-02-02T18:43:00.188339Z,78569.5050362067,5475781759.76216,424.73
0,13:45,2026-02-02T18:43:05.188471Z,78578.9411254455,5476013920.22057,432.31
0,13:45,2026-02-02T18:43:10.188599Z,78590.0485813882,5476295447.26995,447.33
0,13:45,2026-02-02T18:43:15.188771Z,78580.0373227807,5476823990.56622,455.0
0,13:45,2026-02-02T18:43:20.189378Z,78580.3383243219,5476879333.05318,452.54
0,13:45,2026-02-02T18:43:25.189473Z,78569.9866516575,5476943414.60541,453.72
0,13:45,2026-02-02T18:43:30.191012Z,78570.6674980392,5476938448.97169,514.78
0,13:45,2026-02-02T18:43:35.195015Z,78573.1922247168,5476926282.82436,460.75
0,13:45,2026-02-02T18:43:40.195148Z,78520.3499863611,5477615952.74468,458.41
0,13:45,2026-02-02T18:43:45.195277Z,78513.6138760532,5477658268.37535,433.75
0,13:45,2026-02-02T18:43:50.195407Z,78510.3472844466,5478107885.62421,1912.46
0,13:45,2026-02-02T18:43:55.195520Z,78501.8313976265,5477798304.57318,432.65
0,13:45,2026-02-02T18:44:00.195648Z,78513.3133176904,5478301556.6067,478.37
0,13:45,2026-02-02T18:44:05.195776Z,78521.4160431032,5478567636.04641,539.99
0,13:45,2026-02-02T18:44:10.195895Z,78542.1755520181,5478803115.15577,457.88
0,13:45,2026-02-02T18:44:15.196012Z,78542.6310697407,5479025577.46871,450.74
0,13:45,2026-02-02T18:44:20.196092Z,78542.3698348999,5479008961.97104,443.18
0,13:45,2026-02-02T18:44:25.196182Z,78553.0918236099,5479716912.64293,437.1
0,13:45,2026-02-02T18:44:30.196327Z,78550.4424039721,5479895522.19289,460.34
0,13:45,2026-02-02T18:44:35.196434Z,78550.251658472,5479911204.54374,473.06
0,13:45,2026-02-02T18:44:40.196766Z,78550.4717298136,5479919030.76893,465.13
0,13:45,2026-02-02T18:44:45.196869Z,78550.2484459158,5479911199.83182,471.55
0,13:45,2026-02-02T18:44:50.196965Z,78551.9108631559,5480181528.54915,455.87
0,13:45,2026-02-02T18:44:55.197042Z,78547.3061126875,5480266801.34563,432.11
0,14:00,2026-02-02T18:45:00.197183Z,78548.0010054478,5480193819.56216,729.72
0,14:00,2026-02-02T18:45:05.197267Z,78544.4621758754,5480394279.58163,1144.58
0,14:00,2026-02-02T18:45:10.197398Z,78551.8938872072,5481049999.15408,440.74
0,14:00,2026-02-02T18:45:15.197522Z,78540.8806963886,5480760012.99537,456.3
0,14:00,2026-02-02T18:45:20.197660Z,78579.9875742645,5481440993.87319,441.25
0,14:00,2026-02-02T18:45:25.197788Z,78590.1275742279,5481686263.21478,428.01
0,14:00,2026-02-02T18:45:30.197910Z,78592.3179214879,5482149563.81744,1447.17
0,14:00,2026-02-02T18:45:35.198007Z,78588.0831585367,5481874033.01864,446.12
0,14:00,2026-02-02T18:45:40.198117Z,78609.8022353894,5482551302.81276,435.46
0,14:00,2026-02-02T18:45:45.198204Z,78609.5960816943,5482571954.76714,531.35
0,14:00,2026-02-02T18:45:50.198352Z,78638.2565140411,5483272947.46634,453.87
0,14:00,2026-02-02T18:45:55.198483Z,78642.9366112886,5483596266.31715,1830.43
0,14:00,2026-02-02T18:46:00.198612Z,78635.9174571678,5482863271.55281,449.31
0,14:00,2026-02-02T18:46:05.198729Z,78641.9089958311,5483638089.86674,1699.61
0,14:00,2026-02-02T18:46:10.198873Z,78641.8238173242,5483500791.88387,460.02
0,14:00,2026-02-02T18:46:15.199395Z,78642.4045185846,5483614821.11815,471.08
0,14:00,2026-02-02T18:46:20.199529Z,78522.2438153774,5484745368.46063,453.17
0,14:00,2026-02-02T18:46:25.199640Z,78522.8324230531,5484823000.13865,456.14
0,14:00,2026-02-02T18:46:30.199740Z,78529.0709981736,5485282544.29895,447.14
0,14:00,2026-02-02T18:46:35.199882Z,78528.0414361497,5485293760.56018,453.47
0,14:00,2026-02-02T18:46:40.200017Z,78536.3881105875,5485636096.15527,448.81
0,14:00,2026-02-02T18:46:45.200623Z,78534.3952809362,5486005862.65463,450.33
0,14:00,2026-02-02T18:46:50.200724Z,78539.0423907303,5485912355.34004,438.35
0,14:00,2026-02-02T18:46:55.200855Z,78543.2738054562,5485968335.76975,437.41
0,14:00,2026-02-02T18:47:00.201011Z,78539.7950422491,5486089704.59843,451.21
0,14:00,2026-02-02T18:47:05.201138Z,78534.2882861405,5486146564.04436,446.21
0,14:00,2026-02-02T18:47:10.201232Z,78559.247995607,5486547288.76825,426.95
0,14:00,2026-02-02T18:47:15.201344Z,78534.2089806899,5486165788.48792,451.08
0,14:00,2026-02-02T18:47:20.201482Z,78559.6173568061,5486648152.30377,433.7
0,14:00,2026-02-02T18:47:25.201584Z,78584.2559560547,5487286596.77125,491.74
0,14:00,2026-02-02T18:47:30.201671Z,78575.3684196038,5487327375.63036,437.07
0,14:00,2026-02-02T18:47:35.202013Z,78566.2976466285,5487478051.32538,426.52
0,14:00,2026-02-02T18:47:40.202308Z,78577.9008562593,5487640923.86872,543.89
0,14:00,2026-02-02T18:47:45.202421Z,78565.4701792731,5488598075.10082,453.34
0,14:00,2026-02-02T18:47:50.202543Z,78568.5066319306,5488835630.50154,449.57
0,14:00,2026-02-02T18:47:55.202629Z,78570.8018727122,5489093648.22724,453.98
0,14:00,2026-02-02T18:48:00.202719Z,78570.8018727122,5489093648.22724,1044.42
0,14:00,2026-02-02T18:48:05.202831Z,78575.4429166065,5489247019.48923,448.79
0,14:00,2026-02-02T18:48:10.202965Z,78572.8784333595,5489343187.3166,452.85
0,14:00,2026-02-02T18:48:15.203098Z,78559.3011339714,5489645245.69453,660.34
0,14:00,2026-02-02T18:48:20.203229Z,78591.9990772648,5490403604.47358,427.39
0,14:00,2026-02-02T18:48:25.203367Z,78587.0365365346,5490378823.41402,426.14
0,14:00,2026-02-02T18:48:30.203502Z,78587.0365390622,5490377817.1909,432.73
0,14:00,2026-02-02T18:48:35.203629Z,78595.4684456566,5490815398.40699,428.37
0,14:00,2026-02-02T18:48:40.203759Z,78593.0728993658,5490777112.74399,448.1
0,14:00,2026-02-02T18:48:45.203888Z,78595.552631977,5490833860.25021,434.45
0,14:00,2026-02-02T18:48:50.203968Z,78601.3528962104,5490911929.92245,434.9
0,14:00,2026-02-02T18:48:55.204256Z,78600.2973602602,5491655028.11806,445.41
0,14:00,2026-02-02T18:49:00.204339Z,78611.2763028963,5491113183.35143,433.84
0,14:00,2026-02-02T18:49:05.204799Z,78600.2973602602,5491655028.11806,573.79
